name,date_of_execution,duration_of_execution,seed,number_of_modules,number_of_max_qubits_per_module,number_of_max_gates_per_module,reduced_distance,maximum_allowed_weight,number_of_qubits_x_[row],number_of_qubits_y_[column],heuristic,qubit_modules,qubit_mapping,depth,total_qubits,gate_count,swap_count,t_count,qiskit_optimization_level,qiskit_depth,qiskit_total_qubits,qiskit_gate_count,qiskit_swap_count,qiskit_t_count
result0,2024-11-06 16:25:54,33.00582432746887,2517,4,4,6,,5,100,100,False,"{0: [0, 1], 1: [1, 2], 2: [2, 3], 3: [3, 4]}","[{0: [4949, 4950]}, {1: [4950, 4850]}, {2: [4850, 4750]}, {3: [4750, 4650]}]",9,5,13,0,0,1,9,5,13,0,0
result1,2024-11-06 16:26:31,78.57137250900269,5940,4,4,6,,5,100,100,False,"{0: [0, 1, 2], 1: [1, 3, 4], 2: [2, 5, 6], 3: [0, 7, 8]}","[{0: [4849, 4949, 4948]}, {1: [4949, 5049, 4950], 2: [4948, 4947, 4946], 3: [4849, 4850, 4749]}]",5,9,20,0,6,1,5,9,20,0,6
result2,2024-11-06 16:27:52,26.285327434539795,1776,4,4,6,,5,100,100,False,"{0: [0, 1, 2, 3], 1: [3, 4, 5, 6], 2: [2, 7, 8], 3: [8, 9, 10, 11]}","[{0: [5049, 4949, 4950, 5050]}, {2: [4950, 4949, 4951], 1: [5050, 5051, 5052, 5053]}, {3: [4951, 4851, 4751, 4651]}]",9,11,21,0,3,1,5,12,21,0,3
result3,2024-11-06 16:28:21,17.776066303253174,6557,4,4,6,,5,100,100,False,"{0: [0, 1, 2], 1: [3, 4], 2: [0, 4], 3: [2, 5, 6, 7]}","[{0: [5048, 5049, 4949], 1: [4848, 4948]}, {2: [5048, 4948], 3: [4949, 4848, 4849, 4847]}]",5,7,13,0,2,1,4,8,13,0,2
result4,2024-11-06 16:28:41,48.76367139816284,6426,4,4,6,,5,100,100,False,"{0: [0, 1, 2, 3], 1: [4, 5, 6, 7], 2: [2, 5, 8, 9], 3: [4, 10, 11, 12]}","[{1: [5050, 5049, 5149, 5150], 0: [4949, 4948, 5048, 5148]}, {2: [5048, 5049, 4949, 4948], 3: [5050, 5150, 5151, 5152]}]",6,10,19,0,7,1,6,13,19,0,7
result5,2024-11-06 16:29:32,16.427857637405396,895,4,4,6,,5,100,100,False,"{0: [0, 1, 2, 3], 1: [3, 8], 2: [4, 5, 6, 7], 3: [0, 6, 9, 10]}","[{2: [5049, 5050, 4950, 5150], 0: [4850, 4849, 4848, 4949]}, {1: [4949, 4849], 3: [4850, 4951, 4950, 5050]}]",7,9,18,1,5,1,7,11,18,0,5
result6,2024-11-06 16:29:51,18.589529275894165,7911,4,4,6,,5,100,100,False,"{0: [0, 1, 2], 1: [3, 4, 5, 6], 2: [2, 7, 8, 9], 3: [0, 4]}","[{1: [4949, 4950, 5050, 5051], 0: [4850, 4851, 4951]}, {3: [4850, 4950], 2: [4951, 4952, 5052, 5152]}]",5,10,13,0,0,1,4,10,13,0,0
result7,2024-11-06 16:30:12,39.59659910202026,6584,4,4,6,,5,100,100,False,"{0: [0, 1, 2, 3], 1: [1, 6, 7, 8], 2: [4, 5], 3: [0, 5, 9, 10]}","[{0: [4850, 4851, 4951, 4950], 2: [4949, 4849]}, {1: [4851, 4750, 4751, 4749], 3: [4850, 4849, 4950, 4949]}]",8,9,21,0,8,1,6,11,21,0,8
result8,2024-11-06 16:30:54,17.223273754119873,9483,4,4,6,,5,100,100,False,"{0: [0, 1, 2, 3], 1: [4, 5, 6], 2: [2, 4, 7], 3: [5, 8]}","[{1: [4951, 5051, 5050], 0: [4949, 4849, 4851, 4850]}, {3: [5051, 5052], 2: [4851, 4951, 4950]}]",7,9,17,0,6,1,6,9,17,0,6
result10,2024-11-06 16:34:14,16.447489500045776,6264,4,4,6,,5,100,100,False,"{0: [0, 1, 2, 3], 1: [4, 5, 6, 7], 2: [4, 8, 9, 10], 3: [0, 8, 11, 12]}","[{1: [4950, 5051, 5050, 5049], 0: [4949, 4849, 4848, 4850]}, {2: [4950, 4850, 4849, 4750]}, {3: [4849, 4850, 4750, 4851]}]",14,10,21,1,2,1,7,13,21,0,2
result11,2024-11-06 16:34:32,15.394792795181274,4026,4,4,6,,5,100,100,False,"{0: [0, 1], 1: [1, 5], 2: [2, 3, 4], 3: [0, 3, 6]}","[{0: [4949, 4950], 2: [5048, 5049, 5050]}, {1: [4950, 4951], 3: [4949, 5049, 5050]}]",7,6,18,0,5,1,6,7,18,0,5
